well,wellInterventionType,interventionCurrencyCost,interventionManHourCost,oilRateIncreasePercent,testCurrencyCost,testManHourCost,probabilityOfAnomalcyPercent
Pu-01,Water Shutoff,50000,80,3,15000,0,1
Pu-01,Acidizing,75000,60,5,15000,0,3
Pu-01,Hydraulic Fracturing,80000,30,9,15000,0,5
Pu-02,Water Shutoff,50000,80,3,15000,0,2
Pu-02,Acidizing,75000,60,5,15000,0,6
Pu-02,Hydraulic Fracturing,80000,30,9,15000,0,7
Pu-03,Water Shutoff,50000,80,3,15000,0,4
Pu-03,Acidizing,75000,60,5,15000,0,3
Pu-03,Hydraulic Fracturing,80000,30,9,15000,0,7
Pu-04,Water Shutoff,50000,80,3,15000,0,3
Pu-04,Acidizing,75000,60,5,15000,0,5
Pu-04,Hydraulic Fracturing,80000,30,9,15000,0,4
Pu-05,Water Shutoff,50000,80,3,15000,0,3
Pu-05,Acidizing,75000,60,5,15000,0,1
Pu-05,Hydraulic Fracturing,80000,30,9,15000,0,2
Co-01,Water Shutoff,50000,80,3,15000,0,3
Co-01,Acidizing,75000,60,5,15000,0,4
Co-01,Hydraulic Fracturing,80000,30,9,15000,0,6
Co-02,Water Shutoff,50000,80,3,15000,0,7
Co-02,Acidizing,75000,60,5,15000,0,4
Co-02,Hydraulic Fracturing,80000,30,9,15000,0,2
Ga-01,Water Shutoff,50000,80,5,15000,0,4
Ga-01,Acidizing,75000,60,7,15000,0,5
Ga-01,Hydraulic Fracturing,80000,30,11,15000,0,9
Ga-02,Water Shutoff,50000,80,3,15000,0,10
Ga-02,Acidizing,75000,60,8,15000,0,4
Ga-02,Hydraulic Fracturing,80000,30,9,15000,0,2
Ga-03,Water Shutoff,50000,45,7,15000,0,5
Ga-03,Acidizing,75000,75,5,15000,0,4
Ga-03,Hydraulic Fracturing,80000,80,9,15000,0,3
Ga-04,Water Shutoff,50000,80,6,15000,0,2
Ga-04,Acidizing,75000,60,7,15000,0,6
Ga-04,Hydraulic Fracturing,80000,30,9,15000,0,2
Cr-01,Water Shutoff,50000,80,3,15000,0,3
Cr-01,Acidizing,75000,60,5,15000,0,4
Cr-01,Hydraulic Fracturing,80000,45,9,15000,0,3
Cr-02,Water Shutoff,50000,75,4,15000,0,5
Cr-02,Acidizing,75000,80,10,15000,0,1
Cr-02,Hydraulic Fracturing,80000,30,9,15000,0,2
Pd-01,Water Shutoff,50000,80,3,15000,0,5
Pd-01,Acidizing,75000,60,8,15000,0,2
Pd-01,Hydraulic Fracturing,80000,30,12,15000,0,3
Pd-02,Water Shutoff,50000,80,3,15000,0,4
Pd-02,Acidizing,75000,60,8,15000,0,5
Pd-02,Hydraulic Fracturing,80000,30,12,15000,0,4