Day of Production,Oil Rate (mbd),Water Cut (%),GOR (scf/stb),Water Rate (mbd),Liquid Rate (mbd),Gas Rate (mscf)
1155,Pu-01,,,,,,
1155,Pu-02,,,,,,
1155,Pu-03,,,,,,
1155,Pu-04,,,,,,
1155,Pu-05,,,,,,
1155,Co-01,,,,,,
1155,Co-02,,,,,,
1155,Ga-01,,,,,,
1155,Ga-02,,,,,,
1155,Ga-03,,,,,,
1155,Ga-04,,,,,,
1155,Cr-01,,,,,,
1155,Cr-02,,,,,,
1155,Pd-01,,,,,,
1155,Pd-02,6.361,47.486, 3,840.30 , 5.752 , 12.112 , 24,426.60 
1157,Pu-01,,,,,,
1157,Pu-02,,,,,,
1157,Pu-03,,,,,,
1157,Pu-04,,,,,,
1157,Pu-05,,,,,,
1157,Co-01,,,,,,
1157,Co-02,,,,,,
1157,Ga-01,,,,,,
1157,Ga-02,,,,,,
1157,Ga-03,,,,,,
1157,Ga-04,,,,,,
1157,Cr-01,,,,,,
1157,Cr-02,,,,,,
1157,Pd-01,1.565,0.000, 3,727.35 , -   , 1.565 , 5,831.46 
1157,Pd-02,,,,,,
1159,Pu-01,,,,,,
1159,Pu-02,,,,,,
1159,Pu-03,,,,,,
1159,Pu-04,,,,,,
1159,Pu-05,,,,,,
1159,Co-01,,,,,,
1159,Co-02,,,,,,
1159,Ga-01,,,,,,
1159,Ga-02,,,,,,
1159,Ga-03,,,,,,
1159,Ga-04,,,,,,
1159,Cr-01,,,,,,
1159,Cr-02,3.956,50.767, 1,231.25 , 4.079 , 8.035 , 4,870.55 
1159,Pd-01,,,,,,
1159,Pd-02,,,,,,
1161,Pu-01,,,,,,
1161,Pu-02,,,,,,
1161,Pu-03,,,,,,
1161,Pu-04,,,,,,
1161,Pu-05,,,,,,
1161,Co-01,,,,,,
1161,Co-02,,,,,,
1161,Ga-01,,,,,,
1161,Ga-02,,,,,,
1161,Ga-03,,,,,,
1161,Ga-04,,,,,,
1161,Cr-01,3.700,44.020, 1,483.38 , 2.909 , 6.609 , 5,488.11 
1161,Cr-02,,,,,,
1161,Pd-01,,,,,,
1161,Pd-02,,,,,,
1163,Pu-01,,,,,,
1163,Pu-02,,,,,,
1163,Pu-03,,,,,,
1163,Pu-04,,,,,,
1163,Pu-05,,,,,,
1163,Co-01,,,,,,
1163,Co-02,,,,,,
1163,Ga-01,,,,,,
1163,Ga-02,,,,,,
1163,Ga-03,,,,,,
1163,Ga-04,3.278,10.241, 1,275.00 , 0.374 , 3.652 , 4,179.52 
1163,Cr-01,,,,,,
1163,Cr-02,,,,,,
1163,Pd-01,,,,,,
1163,Pd-02,,,,,,
1165,Pu-01,,,,,,
1165,Pu-02,,,,,,
1165,Pu-03,,,,,,
1165,Pu-04,,,,,,
1165,Pu-05,,,,,,
1165,Co-01,,,,,,
1165,Co-02,,,,,,
1165,Ga-01,,,,,,
1165,Ga-02,,,,,,
1165,Ga-03,7.083,45.090, 1,275.00 , 5.816 , 12.899 , 9,030.81 
1165,Ga-04,,,,,,
1165,Cr-01,,,,,,
1165,Cr-02,,,,,,
1165,Pd-01,,,,,,
1165,Pd-02,,,,,,
1167,Pu-01,,,,,,
1167,Pu-02,,,,,,
1167,Pu-03,,,,,,
1167,Pu-04,,,,,,
1167,Pu-05,,,,,,
1167,Co-01,,,,,,
1167,Co-02,,,,,,
1167,Ga-01,,,,,,
1167,Ga-02,8.488,40.821, 1,275.00 , 5.855 , 14.344 , 10,822.74 
1167,Ga-03,,,,,,
1167,Ga-04,,,,,,
1167,Cr-01,,,,,,
1167,Cr-02,,,,,,
1167,Pd-01,,,,,,
1167,Pd-02,,,,,,
1169,Pu-01,,,,,,
1169,Pu-02,,,,,,
1169,Pu-03,,,,,,
1169,Pu-04,,,,,,
1169,Pu-05,,,,,,
1169,Co-01,,,,,,
1169,Co-02,,,,,,
1169,Ga-01,5.791,40.372, 1,287.50 , 3.921 , 9.713 , 7,456.39 
1169,Ga-02,,,,,,
1169,Ga-03,,,,,,
1169,Ga-04,,,,,,
1169,Cr-01,,,,,,
1169,Cr-02,,,,,,
1169,Pd-01,,,,,,
1169,Pd-02,,,,,,
1171,Pu-01,,,,,,
1171,Pu-02,,,,,,
1171,Pu-03,,,,,,
1171,Pu-04,,,,,,
1171,Pu-05,,,,,,
1171,Co-01,,,,,,
1171,Co-02,5.000,3.838, 737.04 , 0.200 , 5.200 , 3,685.42 
1171,Ga-01,,,,,,
1171,Ga-02,,,,,,
1171,Ga-03,,,,,,
1171,Ga-04,,,,,,
1171,Cr-01,,,,,,
1171,Cr-02,,,,,,
1171,Pd-01,,,,,,
1171,Pd-02,,,,,,
1173,Pu-01,,,,,,
1173,Pu-02,,,,,,
1173,Pu-03,,,,,,
1173,Pu-04,,,,,,
1173,Pu-05,,,,,,
1173,Co-01,21.647,26.796, 989.88 , 7.924 , 29.571 , 21,427.95 
1173,Co-02,,,,,,
1173,Ga-01,,,,,,
1173,Ga-02,,,,,,
1173,Ga-03,,,,,,
1173,Ga-04,,,,,,
1173,Cr-01,,,,,,
1173,Cr-02,,,,,,
1173,Pd-01,,,,,,
1173,Pd-02,,,,,,
1175,Pu-01,,,,,,
1175,Pu-02,,,,,,
1175,Pu-03,,,,,,
1175,Pu-04,,,,,,
1175,Pu-05,11.573,0.135, 4,882.98 , 0.016 , 11.589 , 56,512.23 
1175,Co-01,,,,,,
1175,Co-02,,,,,,
1175,Ga-01,,,,,,
1175,Ga-02,,,,,,
1175,Ga-03,,,,,,
1175,Ga-04,,,,,,
1175,Cr-01,,,,,,
1175,Cr-02,,,,,,
1175,Pd-01,,,,,,
1175,Pd-02,,,,,,
1177,Pu-01,,,,,,
1177,Pu-02,,,,,,
1177,Pu-03,,,,,,
1177,Pu-04,7.128,6.064, 6,052.68 , 0.460 , 7.588 , 43,145.49 
1177,Pu-05,,,,,,
1177,Co-01,,,,,,
1177,Co-02,,,,,,
1177,Ga-01,,,,,,
1177,Ga-02,,,,,,
1177,Ga-03,,,,,,
1177,Ga-04,,,,,,
1177,Cr-01,,,,,,
1177,Cr-02,,,,,,
1177,Pd-01,,,,,,
1177,Pd-02,,,,,,
1179,Pu-01,,,,,,
1179,Pu-02,,,,,,
1179,Pu-03,5.878,13, 4,176.90 , 0.878 , 6.757 , 24,553.57 
1179,Pu-04,,,,,,
1179,Pu-05,,,,,,
1179,Co-01,,,,,,
1179,Co-02,,,,,,
1179,Ga-01,,,,,,
1179,Ga-02,,,,,,
1179,Ga-03,,,,,,
1179,Ga-04,,,,,,
1179,Cr-01,,,,,,
1179,Cr-02,,,,,,
1179,Pd-01,,,,,,
1179,Pd-02,,,,,,
1181,Pu-01,,,,,,
1181,Pu-02,13.662,54.078, 1,967.58 , 16.088 , 29.749 , 26,880.11 
1181,Pu-03,,,,,,
1181,Pu-04,,,,,,
1181,Pu-05,,,,,,
1181,Co-01,,,,,,
1181,Co-02,,,,,,
1181,Ga-01,,,,,,
1181,Ga-02,,,,,,
1181,Ga-03,,,,,,
1181,Ga-04,,,,,,
1181,Cr-01,,,,,,
1181,Cr-02,,,,,,
1181,Pd-01,,,,,,
1181,Pd-02,,,,,,
