API_WELL_NUMBER,SNWAR,DATE,COMMENTS
6.08124E+11,-185810,11/4/11,"11/04/2011: Arrived on location at 13:00 hrs. Began bottom survey with ROV. Ran compatts to bottom in work basket. R/U and ran 36"" conductor to 234' on Aft rotary. "
6.08124E+11,-185810,11/5/11,"11/05/2011: Completed bottom survey with ROV. Ran compatts with ROV and calibrated same. Install equipment on 36"" wellhead and TIH with 36"" casing and 30"" jetting assy on landing string. Continue RIH with 36"" casing 30"" jetting assy on landing string. "
6.08124E+11,-186323,11/6/11,"11/06/2011: Ran in hole with 36"" casing to 6777'. Monitored tag of seabed with ROV. Jetted 36"" casing from 7059' to 7364'. Allowed casing to soak. Released CADA tool and pull bit above LPH.  "
6.08124E+11,-272722,7/12/15,"07/12/2015: TIH with BHA #4 from 5 369' to 500' above mud line. Moved rig over well center and TIH with BHA #4 to 8 688'. Washed/reamed from 8 688' to 8 888' and began drilling 26"" hole from 8 888' to 9 834' with 10.1 ppg PAD mud. "
6.08124E+11,-272722,7/13/15,"07/13/2015: Drilled 26"" hole from 9 834' to TD at 10 568' and circulated hole clean. Displaced well from 10.1 ppg PAD mud to 12.5 ppg PAD Mud and TOH to wellhead. Washed wellhead with seawater and TOH to 500' above mud line. Moved rig to DOZ and TOH with BHA to 6 307'. "
6.08124E+11,-272722,7/14/15,"07/14/2015: TOH with BHA #4 from 6 307' to surface with FWD rotary. R/U 22"" casing handling equipment on AFT rotary and RIH with 22"" casing to 3 476'. R/D casing handling equipment. "
6.08124E+11,-272722,7/15/15,"07/15/2015: R/U and ran 22"" casing inner string to 3 307'. M/U Wellhead Lock Down tool and slacked off to 3 568'. Filled the drill string and casing with seawater. TIH from 3 568' to 500' above mud line and move the rig over well center. Stabbed 22"" casing into the 36"" LPWH and TIH to 10 494'. Washed down from 10 494' to 10 519' and landed and locked HPWH in the LPWH. "
6.08124E+11,-272722,7/16/15,07/16/2015: Pumped 13.5 ppg spacer followed by 14.0 ppg lead slurry and 16.4 ppg tail slurry and displaced cement with 8.6 ppg seawater. R/D cement manifold. Preloaded and set HPWH in LPWH. Released Wellhead Lock Down tool from HPWH. Dropped nerf ball into landing string and circulated landing string with 8.6 ppg seawater. TOH from 10 065' to 3 040' and L/D Wellhead Lock Down tool. 
6.08124E+11,-272722,7/17/15,07/17/2015: Moved rig to DOZ. TOH from 3 040' to surface with inner string. R/U CBL E-line equipemnt. P/U CBL E-Line tool string.  
6.08124E+11,-272722,7/18/15,07/18/2015: RIH with CBL E-line tool string to 300'. Calibrate and surface test tool string - good test. TIH from 300' to 900' with the tool string. ROV located and monitored tool string while RIH from 900' to 500' above mud line and began transit to well center. 
6.08124E+11,-274073,7/26/15,"07/26/2015: Drilled 18-1/8"" x 21"" hole from 11 190' to 13 183'. Increased MW from 11.2 ppg SBM to 11.8 ppg SBM as per drilling program. Flushed choke and kill lines with 11.8 ppg SBM. Acquired SCRs. "
6.08124E+11,-274073,7/27/15,"07/27/2015: Drilled 18-1/8"" x 21"" hole from 13 183' to 14 900'. Increased MW from 11.8 ppg SBM to 12.3 ppg SBM as per drilling program. Flushed choke and kill lines with 12.3 ppg SBM. Acquired SCRs. "
6.08124E+11,-274073,7/28/15,"07/28/2015: Drilled 18-1/8"" x 21"" hole from 14 900' to 16 590'. Increased MW from 12.3 ppg SBM to 12.5 ppg SBM as per drilling program. Flushed choke and kill lines with 12.5 ppg SBM. Acquired SCRs. "
6.08124E+11,-274073,7/29/15,"07/29/2015: Drilled 18-1/8"" x 21"" hole from 16 590' to 18 225'. Flushed choke and kill lines with 12.5 ppg SBM. Acquired SCRs. "
6.08124E+11,-274073,7/30/15,"07/30/2015: Drilled 18-1/8"" x 21"" hole from 18 225' to 19 178'. Circulate and condition wellbore. Flushed choke and kill lines with 12.5 ppg SBM. Acquired SCRs. "
6.08124E+11,-274073,7/31/15,"07/31/2015: Finished conditioning wellbore. POOH wet from 19 055' to 17 652' with 18-1/8"" x 21"" BHA on 6-5/8"" DP. Pump slug and continue to POOH from 17 652' to 10 929'. Performed BOP and diverter function tests - good tests. M/U Special BOP Test Tool (SBOPTT) and Dual Cam assembly and TIH to 7 000' (bit depth 17 936').  "
6.08124E+11,-274073,8/1/15,"08/01/2015: TIH with SBOPTT and Dual Cam assembly from 7 000' to 7 044' and landed SBOPTT in HPWH. Released from Dual Cam and performed function tests of BSR and CSR - good tests. POOH with SBOPTT and Dual Cam assembly. TIH with 18-1/8"" x 21"" BHA on 6-5/8"" DP from 10 929' to 18 206'. Wash down from 18 206' to 19 178'. "
6.08124E+11,-273506,7/19/15,07/19/2015: Moved the rig over PS001 well center. RIH with Schlumberger CBL/temperature wireline tool string and logged from 10 000' to mudline. Evaluated logging results and made additional logging run. Reevaluated logging results and noted estimated TOC at 7 100' (41' BML). POOH with wireline tool string and moved the rig to the DOZ. R/D wireline equipment. R/U marine riser handling equipment and RIH with BOP/LMRP on marine riser to 194'. 
6.08124E+11,-273506,7/20/15,07/20/2015: RIH from 194' to 4 847' with the BOP/LMRP on marine riser.  
6.08124E+11,-273506,7/21/15,07/21/2015: RIH from 4 847' to wellhead with BOP/LMRP on marine riser and R/U marine riser jewelry. Pressure tested choke  kill  rigid conduit and boost lines - good tests. P/U heavy wall riser pup joint and landing joint. Installed storm loop and SDC ring to fluid bearing. Moving rig from DOZ to Jack PS001 well. 
6.08124E+11,-273506,7/22/15,"07/22/2015: Moved rig to PS001 well center. Landed and latched BOP/LMRP to HPWH. Performed overpull and slump tests - good tests. Laid out the landing joint and installed the diverter. R/D riser handling equipment. Performed ROV BOP function test and tested BSRs to 250/2 900 psi for 5 minutes each with seawater. Performed 30 minute casing test to 2 900 psi - good test. Perform Deadman test - good test. Perform diverter flow test - good test. R/U drill pipe handling equipment. TIH with 18-1/8""x 21""  BOPTT and Dual Cam tool BHA from surface to 7 472' on 6-5/8"" DP.  "
6.08124E+11,-273506,7/23/15,07/23/2015: Performed accumulator draw down test - good test. Landed BOPTT and released Dual Cam tool. Test BSR with seawater to 250/11 500 psi - good test. Re-engage Dual Cam tool and pressure tested Annular BOP to 250/6 500 psi - good test. Began testing VBRs to 250/11 500 psi.  
6.08124E+11,-273506,7/24/15,"07/24/2015: Completed testing VBRs with seawater to 250/11 500 psi - good tests. Function tested BOPs on Yellow Pod from Toolpusher's panel - good tests. POOH with BOP test assembly and L/D same. Finish M/U 18-1/8"" x 21"" BHA and TIH on 6-5/8"" DP. Tagged TOC @ 10 372'. Displaced well to 11.2 ppg SBM and drilled cement to 10 478'. Performed choke drill. "
6.08124E+11,-273506,7/25/15,"07/25/2015: Drilled out cement and shoe from 10 478' and drill 10' new formation to 10 578'. Performed shoe test to a surface FIT pressure of 1 011 psi (13.0 ppg equivalent surface MW). Drilled ahead with 18-1/8"" x 21"" BHA from 10 578' to 11 190'. "
6.08124E+11,-274399,8/2/15,"08/02/2015: Drilled 18-1/8"" x 21"" hole from 18 178' to 19 621'. POOH from 19 621' to 17 990'. Flushed choke and kill lines with 11.8 ppg SBM. Circulate wellbore with 11.8 ppg SBM. "
6.08124E+11,-274399,8/3/15,08/03/2015: TIH from 18 000' to 18 169' and tagged with 40 klbs down. Washed and reamed from 18 169' to 18 246'. TIH and tagged with 20 klbs down at 18 206'. Began weighting up wellbore from 11.8 ppg to 12.5 ppg SBM. 
6.08124E+11,-274399,8/4/15,08/04/2015: Continued to weight up wellbore from 12.2 ppg to 12.5 ppg. TOH from 18 206' to surface. 
6.08124E+11,-274399,8/5/15,08/05/2015: Performed BSR/CSR function test from Driller's panel on Blue Pod. TIH from surface to 18 200'. Pumped 540 bbls of 17.0 ppg high viscosity SBM pill. TOH from 18 200' to 17 000' and circulated bottoms up. 
6.08124E+11,-274399,8/6/15,"08/06/2015: Pumped 8 bbls spacer and test lines to 3 000 psi. Pumped remaining 192 bbls spacer. Mixed and pumped 557 bbls 17.0 ppg cement. Pumped 17 bbls spacer followed by 8 bbls drill water. Displaced cement with 432 bbls of 12.5 ppg SBM with rig pumps. TOH from 17 000' to 15 000'. Circulated 1.5 drill pipe volumes. Spaced out test stands across BOP. Pressure tested BOPs on 6-5/8"" drill pipe with 12.5 ppg SBM from Toolpusher's panel on Yellow Pod (Rams: 250/8 300 psi  Annular: 250/4 500 psi). "
6.08124E+11,-274399,8/7/15,08/07/2015: Function tested BOP from Driller's panel on Blue Pod. Performed diverter function test. TIH from 13 129' to 15 628'. Wash down and tagged TOC at 15 960'. TOH from 15 960' to 846'. 
6.08124E+11,-274399,8/8/15,"08/08/2015: Functioned BSRs/CSRs from Toolpusher's panel on Yellow Pod. TIH from surface to 15 679' with 18-1/8"" x 21"" drilling assembly. Washed and reamed to top of cement at 15 950'. Drilled cement from 15 950' to 16 183' with 18-1/8"" x 21"" drilling assembly in attempt to initiate Jack PS001 Bypass 01 without success. Performed ""wash test"" by washing on top of cement at 16 183' for 15 minutes - no penetration achieved. Circulated hole clean at 16 183'. "
6.08124E+11,-274419,8/9/15,"08/09/2015: Circulated bottoms up @ 16 183'. Flow checked well - well static. TOH wet from 16 183' to 15 553'. Flow checked well - well static. TOH with BHA from 15 553' to surface. TIH with 18-1/8"" Mill Tooth bit and Mud Motor BHA to 13 094'  setting wear sleeve on TIH at 7 046'. "
6.08124E+11,-274419,8/10/15,08/10/2015: TIH with motor BHA from 13 094' to 16 135'. Time drilled from 16 183' to 16 221'  kicking off bypass at 16 217'. Drilled ahead from 16 221' to 16 259'. Time drilled from 16 259' to 16 271'.  
6.08124E+11,-274419,8/11/15,08/11/2015: Time drilled from 16 271' to 16 331'. Drilled from 16 331' to 16 390. Short trip from 16 390' to 16 215' and back to bottom with motor BHA high side set to 285 degrees - BHA re-entered bypass hole to bottom without issue. Drilled from 16 390' to 16 412'.  
6.08124E+11,-274419,8/12/15,08/12/2015: Drilled bypass hole from 16 412' to 16 437'. Pumped 100-bbl 15.5 ppg high viscosity sweep and circulated wellbore clean. TOH from 16 437' to surface with BHA. 
6.08124E+11,-274419,8/13/15,"08/13/2015: TIH with 18-1/8"" x 21"" Rotary Steerable BHA from surface to 16 264'. Activated the reamer and pull tested at the 22"" casing shoe - good test. Washed down from 16 264' and tagged bottom at 16 437'. TOH from 16 437' to 16 003'. Washed and reamed from 16 003' to 16 391'  removing cement sheath from original hole and opening the bypass hole to 21"".  "
6.08124E+11,-274419,8/14/15,"08/14/2015: Washed and reamed from 16 391' to 16 437'. Directionally Drilled 18-1/8"" x 21"" bypass hole from 16 437' to 17 665'. "
6.08124E+11,-274419,8/15/15,08/15/2015: Directionally drilled from 17 665' to 19 320' MD. 
1.7707E+11,-193952,4/1/12,04/01/2012:  Pulled the 26-inch and 10-3/4-inch casings at +/- 20-ft BML.  Demobbed. 
1.7707E+11,-193944,3/31/12,03/31/2012:  Arrived on location. 
1.7707E+11,-179262,7/24/11,7/24/2011: Tested 500-ft Balanced Cement Plug to 1 000 psi for 30 minutes.  Good Test.  Tagged TOC at 8 978-ft MD.  Cut tubing at 410-ft BML. 
1.7707E+11,-179262,7/25/11,7/25/2011 : 7/27/2011: No activity. 
1.7707E+11,-179262,7/28/11,7/28/2011 : 7/30/2011: Evacuated SMI 49 A for Tropical Storm Don. 
1.7707E+11,-179283,7/31/11,7/31/2011: No activity. 
1.7707E+11,-179283,8/1/11,8/1/2011: ND tree.  Pulled and LD 2-7/8-inch tubing.  NORM free.  Made 5.72-inch gauge run to 560-ft MD (409-ft BML).  Set 7-inch CIBP at 559-ft MD (408-ft BML).  Mixed and pumped 50-ft surface cement plug consisting of 9 sacks of 15.6 ppg Class H Cement (11 ft3)  leaving ETOC at 509-ft MD (358-ft BML).   
1.7707E+11,-179283,8/2/11,8/2/2011:  Tested 50-ft Surface Cement Plug to 1 000 psi for 30 minutes on chart.  Good test.   
1.7707E+11,-179283,8/3/11,8/3/2011:  Jet cut 7-inch casing at 501-ft MD (350-ft BML).  ND 7-inch casing spool.  Pulled and LD 7-inch casing.  NORM free.  Set 10-3/4-inch CIBP at 446-ft MD (295-ft BML). 
1.7707E+11,-179283,8/4/11,8/4/2011: Mixed and pumped 150-ft Surface Cement Plug consisting of 85 sacks of 15.6 ppg Class H Cement (100.3 ft3)  leaving TOC at 296-ft MD (145-ft BML).  Pulled up to 50-ft BML and circulated out with 8.6 ppg seawater. 
1.7707E+11,-179283,8/5/11,"8/5/2011 : 8/6/2011: No activity. """
1.7707E+11,-179826,8/7/11,8/7/2011: Tested 150-ft Surface Cement Plug to 1 000 psi for 30 minutes on chart. Good test.   
1.7707E+11,-187327,12/4/11,12/04/2011 : 12/10/2011:  No activity. 
1.7707E+11,-187326,11/27/11,11/27/2011 : 12/03/2011:  WOW. 
1.7707E+11,-186516,11/13/11,11/13/2011 : 11/19/2011: No activity. 
1.7707E+11,-187036,11/20/11,11/20/2011 : 11/26/2011: Currently at SMI 49 E platform.  WOW. 
1.7707E+11,-189041,12/25/11,12/25/2011: Operations temporarily suspended. 
1.7707E+11,-178496,7/22/11,7/22/2011: Filled 10-3/4-inch x 26-inch casing annulus with 20 bbls of 8.6 ppg seawater.  Filled 7-inch x 10-3/4-inch casing annulus with 2 bbls of 8.6 ppg seawater.  Opened SCSSV with 5 000 psi.  Made a 2-inch gauge run to 10 852-ft.  Established injection into production perforations with 0 psi at 2 BPM.   Mixed and pumped perforation squeeze consisting of 24 sacks of 15.6 ppg Class H Cement (28.3 ft3) and displaced with 59.5 bbls of 8.6 ppg seawater  leaving ETOC at 10 276-ft.  Final squeeze pressure was 0 psi. 
1.7707E+11,-178496,7/23/11,"7/23/2011: Tested perforation squeeze to 1 050 psi for 30 minutes.  Good test.  Tested 7-inch x 10-3/4-inch casing annulus to 1 000 psi for 30 minutes.  Good test.  Tagged TOC at 10 298-ft.  Perforated 2-7/8-inch tubing at 9 500-ft.  Mixed and pumped 500-ft Balanced Cement Plug consisting of 86 sacks of 15.6 ppg Class H Cement (101.5 ft3) and displaced with 58 bbls of 8.6 ppg seawater  leaving ETOC at 9 000-ft.   """
1.7707E+11,-188075,12/11/11,12/11/11 : 12/17/11: No Activity. 
1.7707E+11,-188467,12/18/11,12/18/2011 : 12/24/2011: No activity. 
1.7707E+11,-182808,9/18/11,9/18/11 : 9/24/11: No activity.  Worked on the A2 well. 
1.7707E+11,-185466,10/30/11,10/30/2011 : 11/05/2011: No activity. 
1.7707E+11,-183485,9/25/11,09/25/2011 : 10/01/2011: No activity. 
1.7707E+11,-182377,9/14/11,9/14/11: *Correction: The 26-inch and 10-3/4-inch casings cut at 25-ft BML.*  Well fell 1-inch. 
1.7707E+11,-182377,9/15/11,9/15/11 : 9/17/11: No activity. 
1.7707E+11,-184429,10/9/11,10/09/2011 : 10/15/2011: No activity. 
1.7707E+11,-184620,10/16/11,10/16/2011 : 10/22/2011: No activity. 
1.7707E+11,-183991,10/2/11,10/02/2011 : 10/08/2011: No activity. 
1.7707E+11,-185467,10/30/11,10/30/2011 : 11/05/2011: No activity. 
1.7707E+11,-185987,11/6/11,11/06/2011 : 11/12/2011: No activity. 
1.77044E+11,-155237,5/30/10,"05/30/10 - RU lib  test to 3500 psi  ok.  Pump dye  estimated hole at 3122' at GL mandrel.  Run LIB to 2500' RKB.  Perforate tbg @ 2500'.  Spot a 300' balanced plug f/ 2500' - 2200' RKB.  Test plug to 1000 psi for 15 mins on chart  good test.  Cut 2-7/8"" tbg @ 656' RKB (365' bml).  Move to E002. "
1.77044E+11,-155237,5/31/10,"05/31/10 - 06/05/10 - no activity on this well. """
1.77044E+11,-156558,6/24/10,"06/24/10 - Cut 7-5/8"" csg w/csg cutter @ @ 295' bml  csg free. "
1.77044E+11,-156558,6/25/10,"06/25/10 - POOH & LD 7-5/8"" csg  no norm present.  Set 10-3/4"" CIBP @ 285' bml.  M&P 185' cmt plug from 285' to ETC @ 100' bml.  Circ hole clean. "
1.77044E+11,-156558,6/26/10,"06/26/10 - no activity on this well """
1.77044E+11,-156839,6/27/10,06/27/10 - 07/03/10 - no activity on this well this reporting period 
1.77044E+11,-157337,7/4/10,07/04/10 - no additional to be performed on this well at this time.  final report. 
1.77044E+11,-155796,6/6/10,06/06/10 - 06/09/10 - Uncle John in wet dock for crane repairs. 
1.77044E+11,-155796,6/10/10,06/10/10 - Uncle John arrived back at location. 
1.77044E+11,-155796,6/11/10,"06/11/10 & 06/12/10 - no activity on this well. """
1.77044E+11,-156170,6/18/10,06/18/10 - POOH w/tbg & LD  no norm present. 
1.77044E+11,-156170,6/19/10,"06/19/10 - SET CIBP @ 355' BML.  M&P 12.91 cuft cmt  leaving a 50' cmt plug on top of CIBP @ 355' BML  TOC @ 305' BML. """
1.77044E+11,-230418,8/25/13,08/25/13 - No activity on this well. 
1.77044E+11,-230418,8/26/13,"08/26/13 -Install 2"" bull plug w/gauge.  Open vlvs 1 & 4 on manifold -- 0 psi on gauge.  Close vlvs 1 & 4.  Remove bull plug & gauge.  Open up vlvs 1 & 4.  Well had no bubbles; monitor & video f/30 min (no bubbles).  Secure well cap by installing 2"" bull plugs behind manifold vlvs 1  2  3  & 4.  Final Report. """
1.77044E+11,-128628,6/11/09,06/11/09 - Flush pump hose & test lines  good test.  Pumped SW down tbg.  Established injection. 
1.77044E+11,-128628,6/12/09,06/12/09 - Pump 3.5 bbls cmt  displace w/ SW.  Final sqz pressure tbg 1932 psi / csg 1908 psi.  Est TOC w/cmt @ screen s 4389' RKB. 
1.77044E+11,-128628,6/13/09,"06/13/09 - no activity on this well. """
1.77044E+11,-128632,6/14/09,06/14/09 - Flush & test tbg & csg hose to 250/2500 psi for 5 mins.  Test cmt sqz 500 psi over final injection.  Pump SW  test to 1970 psi f/15 mins on chart  good test.  Close SCSSV. 
1.77044E+11,-128632,6/15/09,"06/15/09 - Complete exit survey on all 12 wells.  Check all vlvs  install wellhead signs  plastic wrap wellheads.  MOL. """
1.77044E+11,-229977,8/18/13,08/18/13 - Cont installing upper union & vlv assy onto existing wellhead assy. Perform manifold integrity test t/250 psi  followed by 250 psi/5 min LOT (initial press = 2 psi; LOT = 100 psi/5 min). 
1.77044E+11,-229977,8/19/13,08/19/13 - No activity on this well. 
1.77044E+11,-229977,8/20/13,08/20/13 - No activity on this well. 
1.77044E+11,-229977,8/21/13,08/21/13 - No activity on this well. 
1.77044E+11,-229977,8/22/13,08/22/13 - Fill well cap w/80/20 cmt/resin blend; shut vlv.  Install manifold on well cap. 
1.77044E+11,-229977,8/23/13,08/23/13 - No activity on this well. 
1.77044E+11,-229977,8/24/13,"08/24/13 - No activity on this well. """
1.77044E+11,-229682,8/14/13,08/14/13 - Survey well -- well height 167'; well pressure 2 psi.  Bled pressure t/0 psi.   
1.77044E+11,-229682,8/15/13,08/15/13 - Attempt t/test wellhead void w/o success.  Re-pack seals.  Re-test void t/300 psi f/15 min (good test). 
1.77044E+11,-229682,8/16/13,08/16/13 - Ck pressure - 13 psi.  Un-bolt & swivel well cap flange 180 degrees. 
1.77044E+11,-229682,8/17/13,"08/17/13 - Check grout in annuli; cmt is 6"" below top of 10-3/4"" casing.  RIH w/CIBP; set 5' below top of csg.  POOH.  Measure CIBP t/flange top -- 7'-2"". """
1.77154E+11,-34492,9/12/06,"9/12/2006- SITP 2000 psi. Bled off tubing pressure. Tested 3 1/2"" x 7"" annulus to 1100 psi for 10 mins- OK. Attempted to test 7"" x 10 3/4"" annulus- got returns on 30"" DP. Established injection rates.  "
1.77154E+11,-34492,9/13/06,"9/13/2006- Continued to establish injection rates. Mixed and pumped 20 sxs cmt and displaced to perfs. Squeezed same from 5196' to 5242' leaving a 300' plug in 3 1/2"" tubing from 4896' to 5196'. "
1.77154E+11,-34492,9/15/06,9/15/2006- Received verbal approval from B. Hunter (MMS) to test plug to 1000 psi. 
1.77154E+11,-34432,9/3/06,"9/03/2006- Arrived on location with lift boat. RU on B-6 well and attempted to RIH with 1.84"" gauge (unable to get below SCSSV at 377'). Attempted to equalize across valve. "
